ST	adk	atpA	dxr	glyA	recA	sodA	tpi
PSM216_/PSM216__MLST/mlst_report.tsv	47	1	1	11	17	1	3	2
PSM217_/PSM217__MLST/mlst_report.tsv	55	1	1	6	6	1	12	12
PSM218_/PSM218__MLST/mlst_report.tsv	10	2	1	2	1	1	3	1
PSM219_/PSM219__MLST/mlst_report.tsv	1*	1	1*	1	10	1	3	5
PSM220_/PSM220__MLST/mlst_report.tsv	1	1	1	1	10	1	3	5
PSM221_/PSM221__MLST/mlst_report.tsv	58	1	5	7	1	1	13	1
PSM222_/PSM222__MLST/mlst_report.tsv	53	1	2	2	1	1	5	1
PSM223_/PSM223__MLST/mlst_report.tsv	42	1	1	2	1	1	7	1
PSM224_/PSM224__MLST/mlst_report.tsv	6	2	1	6	1	1	5	1
PSM225_/PSM225__MLST/mlst_report.tsv	37	3	7	3	8	6	9	11
PSM226_/PSM226__MLST/mlst_report.tsv	46	4	1	6	1	1	10	1
PSM227_/PSM227__MLST/mlst_report.tsv	1	1	1	1	10	1	3	5
PSM228_/PSM228__MLST/mlst_report.tsv	1	1	1	1	10	1	3	5
PSM229_/PSM229__MLST/mlst_report.tsv	42	1	1	2	1	1	7	1
PSM230_/PSM230__MLST/mlst_report.tsv	2	1	1	2	1	5	3	1
PSM231_/PSM231__MLST/mlst_report.tsv	1	1	1	1	10	1	3	5
PSM232_/PSM232__MLST/mlst_report.tsv	3	1	1	2	1	1	1	1
PSM233_/PSM233__MLST/mlst_report.tsv	53	1	2	2	1	1	5	1
PSM234_/PSM234__MLST/mlst_report.tsv	1	1	1	1	10	1	3	5
PSM235_/PSM235__MLST/mlst_report.tsv	1*	1	1*	1	10	1	3	5
PSM236_/PSM236__MLST/mlst_report.tsv	49	1	1	2	1	5	3	3
PSM237_/PSM237__MLST/mlst_report.tsv	14	1	1	2	1	5	5	3
PSM238_/PSM238__MLST/mlst_report.tsv	34	1	5	7	1	1	3	1
PSM239_/PSM239__MLST/mlst_report.tsv	1	1	1	1	10	1	3	5
PSM240_/PSM240__MLST/mlst_report.tsv	1	1	1	1	10	1	3	5
PSM241_/PSM241__MLST/mlst_report.tsv	26	1	1	6	1	4	3	4
PSM242_/PSM242__MLST/mlst_report.tsv	58	1	5	7	1	1	13	1
PSM243_/PSM243__MLST/mlst_report.tsv	1	1	1	1	10	1	3	5
PSM244_/PSM244__MLST/mlst_report.tsv	1	1	1	1	10	1	3	5
PSM245_/PSM245__MLST/mlst_report.tsv	63	1	1	7	5	1	3	3
PSM246_/PSM246__MLST/mlst_report.tsv	1	1	1	1	10	1	3	5
PSM247_/PSM247__MLST/mlst_report.tsv	14	1	1	2	1	5	5	3
PSM248_/PSM248__MLST/mlst_report.tsv	8	1	1	2	6	1	5	1
PSM249_/PSM249__MLST/mlst_report.tsv	1	1	1	1	10	1	3	5
PSM250_/PSM250__MLST/mlst_report.tsv	1	1	1	1	10	1	3	5
PSM251_/PSM251__MLST/mlst_report.tsv	8	1	1	2	6	1	5	1
PSM252_/PSM252__MLST/mlst_report.tsv	3	1	1	2	1	1	1	1
PSM253_/PSM253__MLST/mlst_report.tsv	2	1	1	2	1	5	3	1
PSM254_/PSM254__MLST/mlst_report.tsv	2	1	1	2	1	5	3	1
PSM255_/PSM255__MLST/mlst_report.tsv	46	4	1	6	1	1	10	1
PSM256_/PSM256__MLST/mlst_report.tsv	63	1	1	7	5	1	3	3
PSM257_/PSM257__MLST/mlst_report.tsv	8	1	1	2	6	1	5	1
PSM258_/PSM258__MLST/mlst_report.tsv	221	1	6	4	7	2	8	29
PSM259_/PSM259__MLST/mlst_report.tsv	34	1	5	7	1	1	3	1
PSM260_/PSM260__MLST/mlst_report.tsv	1	1	1	1	10	1	3	5
PSM261_/PSM261__MLST/mlst_report.tsv	1	1	1	1	10	1	3	5
PSM262_/PSM262__MLST/mlst_report.tsv	1*	1	1*	1	10	1	3	5
PSM263_/PSM263__MLST/mlst_report.tsv	42	1	1	2	1	1	7	1
PSM264_/PSM264__MLST/mlst_report.tsv	46	4	1	6	1	1	10	1
PSM265_/PSM265__MLST/mlst_report.tsv	2	1	1	2	1	5	3	1
PSM266_/PSM266__MLST/mlst_report.tsv	42	1	1	2	1	1	7	1
PSM267_/PSM267__MLST/mlst_report.tsv	67	1	1	9	9	1	3	5
PSM268_/PSM268__MLST/mlst_report.tsv	11	5	8	5	11	9	11	8
PSM269_/PSM269__MLST/mlst_report.tsv	15	1	1	6	1	8	5	1
PSM270_/PSM270__MLST/mlst_report.tsv	37	3	7	3	8	6	9	11
PSM271_/PSM271__MLST/mlst_report.tsv	1	1	1	1	10	1	3	5
PSM272_/PSM272__MLST/mlst_report.tsv	63	1	1	7	5	1	3	3
PSM273_/PSM273__MLST/mlst_report.tsv	192	1	5	11	1	1	3	1
PSM274_/PSM274__MLST/mlst_report.tsv	1*	1	1*	1	10	1	3	5
PSM275_/PSM275__MLST/mlst_report.tsv	1*	1	1*	1	10	1	3	5
